LogGDP,LogDebt,LogNationalSavings,LogRatio,GDP,Debt,NationalSavings,Ratio,Country_Name,Year
24.317124584139705,0,21.803818459830005,0,36374164174,0,2946307298.094,0,Chile,1981-01-01
26.406341020391803,0,0,0,293851689756,0,0,0,"China Peoples Republic of",1981-01-01
24.155495079379413,0,0,0,30945551050,0,0,0,"China: Hong Kong SAR",1981-01-01
20.758721931460677,0,0,0,1036092157,0,0,0,"China: Macao SAR",1981-01-01
24.663630422956672,0,22.73191899330117,0,51437351221,0,7453272191.9229,0,Colombia,1981-01-01
18.554091044245506,0,17.348450182818876,0,114271876,0,34224426.861999996,0,Comoros,1981-01-01
21.41317498423042,0,0,0,1993534407,0,0,0,Congo,1981-01-01
16.95824402888052,0,0,0,23167107,0,0,0,"Cook Islands",1981-01-01
21.927372149659707,0,19.88868860045204,0,3333778391,0,434057946.50820005,0,"Costa Rica",1981-01-01
22.855370265069276,0,21.092198252693134,0,8432593940,0,1446189860.7099998,0,"Côte dIvoire",1981-01-01
NULL,0,0,0,0,0,0,NULL,Croatia,1981-01-01
23.72648273687248,0,0,0,20150254124,0,0,0,Cuba,1981-01-01
21.489721978928863,0,20.355275237251536,0,2152125895,0,692123687.832,0,Cyprus,1981-01-01
NULL,0,0,0,0,0,0,NULL,"Czech Republic",1981-01-01
24.65072319902632,0,0,0,50777704075,0,0,0,"Czechoslovakia (Former)",1981-01-01
23.050004239962604,0,0,0,10244473639,0,0,0,"Democratic Peoples Republic of Korea",1981-01-01
22.88617569232133,0,21.390066465194234,0,8696406161,0,1947994980.064,0,"Democratic Republic of the Congo",1981-01-01
24.8238287127035,0,23.031068743141862,0,60374261243,0,10052314496.9595,0,Denmark,1981-01-01
19.58290410818833,0,0,0,319703355,0,0,0,Djibouti,1981-01-01
18.1877943221386,0,0,0,79224355,0,-919002.5179999999,0,Dominica,1981-01-01
22.91636628529703,0,20.722635597215067,0,8962959272,0,999369958.8280001,0,"Dominican Republic",1981-01-01
23.40976022099701,0,21.64132657707245,0,14680122738,0,2504428939.1028,0,Ecuador,1981-01-01
23.3175287539586,0,21.35640343909681,0,13386716603,0,1883511026.0421002,0,Egypt,1981-01-01
20.852325644795698,0,18.615528292339654,0,1137758169,0,121512572.4492,0,"El Salvador",1981-01-01
17.73996546606301,18.543177081485265,0,0.9566842503907146,50625475,113031498.03250001,-35017641.0575,2.2327000000000004,"Equatorial Guinea",1981-01-01
NULL,0,0,0,0,0,0,NULL,Eritrea,1981-01-01
NULL,0,0,0,0,0,0,NULL,Estonia,1981-01-01
NULL,0,0,0,0,0,0,NULL,Ethiopia,1981-01-01
22.542736481244436,0,0,0,6168592206,0,0,0,"Ethiopia (Former)",1981-01-01
20.945063912313675,0,0,0,1248319286,0,0,0,Fiji,1981-01-01
24.67052194927563,22.505958154178963,23.33263672736343,1.0961773669118258,51793057352,5945842984.009601,13590498249.164799,0.11480000000000001,Finland,1981-01-01
27.128859474106115,25.61291190475935,25.53233778693856,1.059186849780445,605220973718,132906525828.47281,122617769275.26682,0.21960000000000002,France,1981-01-01
20.979005218332752,0,0,0,1291416117,0,0,0,"French Polynesia",1981-01-01
22.2768302614813,0,21.624441073393523,0,4728293828,0,2462495425.6224003,0,Gabon,1981-01-01
20.09561397776966,0,0,0,533843871,0,0,0,Gambia,1981-01-01
NULL,0,0,0,0,0,0,NULL,Georgia,1981-01-01
27.37563120215001,0,25.806855271434802,0,774614406240,0,161352180819.792,0,Germany,1981-01-01
22.42680591892507,0,18.27906057997585,0,5493359955,0,86795087.289,0,Ghana,1981-01-01
24.63355780335064,23.314548189036348,22.773091136112797,1.0565745303584548,49913522918,13346876028.2732,7766544166.040801,0.26739999999999997,Greece,1981-01-01
19.875611485690555,0,0,0,428418674,0,0,0,Greenland,1981-01-01
18.20077269026603,0,16.57367984259321,0,80259259,0,15770944.393499998,0,Grenada,1981-01-01
